,STATION,DATETIME,DAILY_ENTRY,DAILY_EXIT,DAILY_TOTAL
0,1 AV,2018-05-26,12813.0,14984.0,27797.0
1,1 AV,2018-05-27,13287.0,15456.0,28743.0
2,1 AV,2018-05-28,12572.0,14472.0,27044.0
3,1 AV,2018-05-29,20705.0,23595.0,44300.0
4,1 AV,2018-05-30,22414.0,24313.0,46727.0
5,1 AV,2018-05-31,22932.0,25629.0,48561.0
6,1 AV,2018-06-01,23456.0,25689.0,49145.0
7,1 AV,2018-06-02,20048.0,21281.0,41329.0
8,1 AV,2018-06-03,16096.0,19088.0,35184.0
9,1 AV,2018-06-04,21458.0,23273.0,44731.0
10,1 AV,2018-06-05,20499.0,22735.0,43234.0
11,1 AV,2018-06-06,23524.0,24799.0,48323.0
12,1 AV,2018-06-07,21945.0,23644.0,45589.0
13,1 AV,2018-06-08,23769.0,25782.0,49551.0
14,1 AV,2018-06-09,19888.0,20218.0,40106.0
15,1 AV,2018-06-10,15469.0,17958.0,33427.0
16,1 AV,2018-06-11,20779.0,22648.0,43427.0
17,1 AV,2018-06-12,22312.0,23549.0,45861.0
18,1 AV,2018-06-13,22681.0,24346.0,47027.0
19,1 AV,2018-06-14,23147.0,24755.0,47902.0
20,1 AV,2018-06-15,22370.0,23230.0,45600.0
21,1 AV,2018-06-16,18679.0,19640.0,38319.0
22,1 AV,2018-06-17,14290.0,16334.0,30624.0
23,1 AV,2018-06-18,19705.0,22582.0,42287.0
24,1 AV,2018-06-19,19818.0,22045.0,41863.0
25,1 AV,2018-06-20,22019.0,23636.0,45655.0
26,1 AV,2018-06-21,22654.0,23732.0,46386.0
27,1 AV,2018-06-22,22976.0,24666.0,47642.0
28,1 AV,2018-06-23,18388.0,20285.0,38673.0
29,1 AV,2018-06-24,17486.0,19150.0,36636.0
30,1 AV,2018-06-25,20022.0,22155.0,42177.0
31,1 AV,2018-06-26,20997.0,23072.0,44069.0
32,1 AV,2018-06-27,21172.0,22545.0,43717.0
33,1 AV,2018-06-28,21242.0,22436.0,43678.0
34,1 AV,2018-06-29,21762.0,23288.0,45050.0
35,1 AV,2018-06-30,18109.0,19049.0,37158.0
36,1 AV,2018-07-01,13194.0,15736.0,28930.0
37,1 AV,2018-07-02,17505.0,19597.0,37102.0
38,1 AV,2018-07-03,19154.0,20798.0,39952.0
39,1 AV,2018-07-04,14007.0,15577.0,29584.0
40,1 AV,2018-07-05,19591.0,24383.0,43974.0
41,1 AV,2018-07-06,18205.0,20230.0,38435.0
42,103 ST,2018-05-26,15407.0,9892.0,25299.0
43,103 ST,2018-05-27,13438.0,9709.0,23147.0
44,103 ST,2018-05-28,15713.0,11835.0,27548.0
45,103 ST,2018-05-29,33012.0,22099.0,55111.0
46,103 ST,2018-05-30,34759.0,23545.0,58304.0
47,103 ST,2018-05-31,34644.0,23891.0,58535.0
48,103 ST,2018-06-01,34436.0,20971.0,55407.0
49,103 ST,2018-06-02,20291.0,15533.0,35824.0
50,103 ST,2018-06-03,16933.0,13749.0,30682.0
51,103 ST,2018-06-04,32982.0,22059.0,55041.0
52,103 ST,2018-06-05,35031.0,23390.0,58421.0
53,103 ST,2018-06-06,34911.0,23627.0,58538.0
54,103 ST,2018-06-07,34015.0,23394.0,57409.0
55,103 ST,2018-06-08,34355.0,23693.0,58048.0
